SI NO.,CUSTOMER ITEM NO.,GOODS DESCRIPTION,Unnamed: 3,Unnamed: 4,PACKAGE,QTY,UNIT,MRP in INR
35.0,all-CT-AV585-P01G-SG1.8,"Dispaly port 20P male to male, nickle plated , metal cover, ROHS",BLACK,1.8m,1PC/cabletime box,3.0,PCS,8442.0
36.0,all-CT-CMLU3-AG,"USB C HUB ，Premium USB C to USB 3.0 HUB, 3 port+ Ethernet gigabits, Space Grey ,RoHS",SPACE GREY,15CM,1PC/cabletime box,3.0,PCS,24167.0
37.0,all-CT-LS01-AG,"Foldable Laptop stand , Siver Grey",Silver Grey,,1PC/cabletime box,3.0,PCS,13835.0
38.0,all-CT-LS01-AB,"Foldable Laptop stand , Siver Grey",black,,1PC/cabletime box,3.0,PCS,12575.0
39.0,all-LC-CT-VLP01-PG,"1. Material: ABS
 
 2. Product Weight: 168g 
 
 3. Package Weight: 220g
 
 4. Product Size: 120*88**42mm
 
 5. Colour: Space Gray Painting
 
 6. Apply for: Laptop, Tablet, Phone",Space Grey,,1PC/cabletime box,3.0,PCS,13079.0
40.0,all-CT-DOCK131-AG2,,Space Grey,,1PC/cabletime box,20.0,PC,140400.0
41.0,ALL-CT-AV540-HE2GFIBER-D20,"HDMI 2.1 8K Active Optical Fiber cable 4K@60Hz, bandwidth:48 Gbps",Dark blue,20M,1pc/cabletime BOX,3.0,PCS,107579.0
42.0,all-CT-C160-PU31-CMHD91-DB0.15,"9口HUB Aluminum case
 
 Support USB-C input and HDMI output
 
 Supports 10/100 /1000Mbps bandwidth
 
 Support USB 3.1/3.0 super speed (5Gbps) transmission, downward compatible USB2.0, with max 7.5W(5V@1.5A)
 
 SD and Micro SD card slots
 
 HDMI/F support 4K*2K@30HZ
 
 Support HDMI 1.4 and former versions
 
 Support to connect Headsets, earphone, micphone, speaker with audio port
 
 USB type-c female charging port for Macbook or Google new Chromebook Pixel and other USB 3.1 Type C supported devices charging",dark blue,0.2M,1PC/cabletime box,3.0,PCS,78095.0
43.0,ALL-CT-MP01-AB,"1.Polar Pattern: Uni-directional
 
 2.Sensitivity: -36dB±1dB
 
 3.Frequency Response: 20Hz-20kHz
 
 4.Load Pattern: 150Ω
 
 5.Sampling Rate：192KHz/24Bit
 
 6.Current: 20mA
 
 7.Power Supply: USB(5V)
 
 8.Output Port: USB2.0
 
 9.Length:1.5m
 
 10.Tube Material: Black Aluminum
 
 11.Weight:500g",BLACK,,1PC/CALBETIME color box + Label,20.0,PCS,28800.0
44.0,all-CT-AV585-P02G4K-SG1.8,"PREMIUM CABLETIME DisplayPort To HDMI Cable,DP Male To HDMI Male , Support Ultra HD 4K/30HZ (3840*2160p), Gold Plated BLACK, SPACE GREY WITH LED",BLACK,1.8M(6FT),1PC/cabletime box,50.0,PCS,14400.0
45.0,all-CT-AV588-P03G4K-SG1.8,"PREMIUM CABLETIME Mini DisplayPort To HDMI Cable, Mini DP Male To HDMI Male , Support Ultra HD 4K/30HZ (3840*2160p), Gold Plated ,Compliant with Mac Book Series, Surface Series , Dell, Lenovo, HP with Mini DP Interface, BLACK, SPACE GREY WITH LED",BLACK,1.8M(6FT),1PC/cabletime box,25.0,PCS,14400.0
46.0,all-CT-C160-PU31-CMDP2-B1.8,"PREIMUM USB TYPE C TO DISPLAYPORT CABLE, SUPPORT AUDIO-VIDEO 4K/60HZ, Gold plated WITH ALUMIUM CASE, with CABLETIME LOGO , Matt Flexible TPE Jacket , RoHS",BLACK,1.8M,1PC/cabletime box,3.0,PCS,17615.0
47.0,ALL-CT-C160-PU31-CMAU(D)-AS0.1,"PREMIUM DIGITAL USB TYPE C to AUDIO Stereo 3.5 Female . Nickle plated with Space Grey alumium Housing , Flexible Matt PVC+BLACK ,OD4.5mm ,RohS",Black,10CM,1pc/cabletime BOX,3.0,PCS,5519.0
48.0,ALL-CT-USB4-AG1,"USB4 CABLE C TO C 
 
 1.Power：100W
 
 2.Current/Voltage：5A/20V
 
 3.Shell：Aliumium Housing (Space Grey),
 
 4. Connector: Type-C Male Nickle Plated, With Chipset Cypress CCG2
 
 5.Wire：USB4 cable 32AWG*8C+32AWG*1C+32AWG*4C+26AWG*3C+PS 
 
 6.Jacket：Nylon Braided OD4.5mm 
 
 7.Certificate：ROHS2,REACH,USB-IF",Black,１.０M,1PC/CABLETIME USB4 BOX,3.0,PCS,38682.0
49.0,ALL-CT-AV311-P11GN-SG1.8,"Premium Stereo 3.5mm Cable M/M 28AWG-CU, gold plated with Space Grey Alumium Cover, , Matt Flexible Black PVC Jacket+nylon , RoHS",Space Grey,1.8m,1pc/CABLETIME bag+LABEL,3.0,PCS,2999.0
50.0,ALL-CT-C160-U33-HUB7-SG0.15,"USB C HUB ，Premium USB C to USB 3.0 HUB, 7 port, Adapter",space grey,0.15M,1pc/CABLETIME bag+LABEL,3.0,PCS,65243.0
51.0,all-CT-HUBP7-AG,Portability 7-IN-1 USB-C to USB3.0×2+HDMI 4K60Hz +PD 100W +SD/TF 3.0 Adapter,SPACE GREY,0.1M,1PC/cabletime box,3.0,PCS,62723.0
52.0,all-CT-HUBP5-AG,Portability 5-IN-1 USB-C to USB3.0×3+HDMI 4K60Hz +PD 100W Adapter,SPACE GREY,0.1M,1PC/cabletime box,3.0,PCS,45083.0
53.0,all-CT-HUBP4-AG,Portability 4-IN-1 USB-C to USB3.0×4 Adapter,SPACE GREY,0.1M,1PC/cabletime box,10.0,PCS,21600.0
